;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_WKA_title;Grant Wanka Independence;;;;;;;;;;;;x,,
gtfo_WKA_desc;We've had a good run, but it's time to end our rulership of Wanka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WLY_title;Grant Welayta Independence;;;;;;;;;;;;x,,
gtfo_WLY_desc;We've had a good run, but it's time to end our rulership of Welayta: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WNR_title;Grant Wenro Independence;;;;;;;;;;;;x,,
gtfo_WNR_desc;We've had a good run, but it's time to end our rulership of Wenro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WOL_title;Grant Jolof Independence;;;;;;;;;;;;x,,
gtfo_WOL_desc;We've had a good run, but it's time to end our rulership of Jolof: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WRL_title;Grant Warsangali Independence;;;;;;;;;;;;x,,
gtfo_WRL_desc;We've had a good run, but it's time to end our rulership of Warsangali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WUR_title;Grant Wurttemberg Independence;;;;;;;;;;;;x,,
gtfo_WUR_desc;We've had a good run, but it's time to end our rulership of Wurttemberg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X00_title;Grant Bamberg Independence;;;;;;;;;;;;x,,
gtfo_X00_desc;We've had a good run, but it's time to end our rulership of Bamberg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X01_title;Grant Beja Independence;;;;;;;;;;;;x,,
gtfo_X01_desc;We've had a good run, but it's time to end our rulership of Beja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X02_title;Grant Bologna Independence;;;;;;;;;;;;x,,
gtfo_X02_desc;We've had a good run, but it's time to end our rulership of Bologna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X03_title;Grant Basra Independence;;;;;;;;;;;;x,,
gtfo_X03_desc;We've had a good run, but it's time to end our rulership of Basra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X04_title;Grant Semien Independence;;;;;;;;;;;;x,,
gtfo_X04_desc;We've had a good run, but it's time to end our rulership of Semien: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X05_title;Grant Damot Independence;;;;;;;;;;;;x,,
gtfo_X05_desc;We've had a good run, but it's time to end our rulership of Damot: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X06_title;Grant Fars Independence;;;;;;;;;;;;x,,
gtfo_X06_desc;We've had a good run, but it's time to end our rulership of Fars: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X07_title;Grant Glogow Independence;;;;;;;;;;;;x,,
gtfo_X07_desc;We've had a good run, but it's time to end our rulership of Glogow: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X08_title;Grant Isfahan Independence;;;;;;;;;;;;x,,
gtfo_X08_desc;We've had a good run, but it's time to end our rulership of Isfahan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X09_title;Grant Kaua'i Independence;;;;;;;;;;;;x,,
gtfo_X09_desc;We've had a good run, but it's time to end our rulership of Kaua'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X10_title;Grant Kandy Independence;;;;;;;;;;;;x,,
gtfo_X10_desc;We've had a good run, but it's time to end our rulership of Kandy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X11_title;Grant Kerman Independence;;;;;;;;;;;;x,,
gtfo_X11_desc;We've had a good run, but it's time to end our rulership of Kerman: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X12_title;Grant Gilan Independence;;;;;;;;;;;;x,,
gtfo_X12_desc;We've had a good run, but it's time to end our rulership of Gilan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X13_title;Grant The Isles Independence;;;;;;;;;;;;x,,
gtfo_X13_desc;We've had a good run, but it's time to end our rulership of The Isles: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X14_title;Grant León Independence;;;;;;;;;;;;x,,
gtfo_X14_desc;We've had a good run, but it's time to end our rulership of León: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X15_title;Grant Lippe Independence;;;;;;;;;;;;x,,
gtfo_X15_desc;We've had a good run, but it's time to end our rulership of Lippe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X16_title;Grant Luristan Independence;;;;;;;;;;;;x,,
gtfo_X16_desc;We've had a good run, but it's time to end our rulership of Luristan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X17_title;Grant Livonia Independence;;;;;;;;;;;;x,,
gtfo_X17_desc;We've had a good run, but it's time to end our rulership of Livonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X18_title;Grant Medina Independence;;;;;;;;;;;;x,,
gtfo_X18_desc;We've had a good run, but it's time to end our rulership of Medina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X19_title;Grant Majorca Independence;;;;;;;;;;;;x,,
gtfo_X19_desc;We've had a good run, but it's time to end our rulership of Majorca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X20_title;Grant Meath Independence;;;;;;;;;;;;x,,
gtfo_X20_desc;We've had a good run, but it's time to end our rulership of Meath: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X21_title;Grant Opole Independence;;;;;;;;;;;;x,,
gtfo_X21_desc;We've had a good run, but it's time to end our rulership of Opole: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X22_title;Grant Osnabrück Independence;;;;;;;;;;;;x,,
gtfo_X22_desc;We've had a good run, but it's time to end our rulership of Osnabrück: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X23_title;Grant Padua Independence;;;;;;;;;;;;x,,
gtfo_X23_desc;We've had a good run, but it's time to end our rulership of Padua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X24_title;Grant Passau Independence;;;;;;;;;;;;x,,
gtfo_X24_desc;We've had a good run, but it's time to end our rulership of Passau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X25_title;Grant Rostov Independence;;;;;;;;;;;;x,,
gtfo_X25_desc;We've had a good run, but it's time to end our rulership of Rostov: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X26_title;Grant Rügen Independence;;;;;;;;;;;;x,,
gtfo_X26_desc;We've had a good run, but it's time to end our rulership of Rügen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X27_title;Grant Sistan Independence;;;;;;;;;;;;x,,
gtfo_X27_desc;We've had a good run, but it's time to end our rulership of Sistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X28_title;Grant Shewa Independence;;;;;;;;;;;;x,,
gtfo_X28_desc;We've had a good run, but it's time to end our rulership of Shewa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X29_title;Grant Spoleto Independence;;;;;;;;;;;;x,,
gtfo_X29_desc;We've had a good run, but it's time to end our rulership of Spoleto: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X30_title;Grant Stettin Independence;;;;;;;;;;;;x,,
gtfo_X30_desc;We've had a good run, but it's time to end our rulership of Stettin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X31_title;Grant Saluzzo Independence;;;;;;;;;;;;x,,
gtfo_X31_desc;We've had a good run, but it's time to end our rulership of Saluzzo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X32_title;Grant Tabriz Independence;;;;;;;;;;;;x,,
gtfo_X32_desc;We've had a good run, but it's time to end our rulership of Tabriz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X33_title;Grant Trent Independence;;;;;;;;;;;;x,,
gtfo_X33_desc;We've had a good run, but it's time to end our rulership of Trent: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X34_title;Grant Ulster Independence;;;;;;;;;;;;x,,
gtfo_X34_desc;We've had a good run, but it's time to end our rulership of Ulster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X35_title;Grant Valencia Independence;;;;;;;;;;;;x,,
gtfo_X35_desc;We've had a good run, but it's time to end our rulership of Valencia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X36_title;Grant Verona Independence;;;;;;;;;;;;x,,
gtfo_X36_desc;We've had a good run, but it's time to end our rulership of Verona: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X37_title;Grant Wolgast Independence;;;;;;;;;;;;x,,
gtfo_X37_desc;We've had a good run, but it's time to end our rulership of Wolgast: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XAL_title;Grant Xalisco Independence;;;;;;;;;;;;x,,
gtfo_XAL_desc;We've had a good run, but it's time to end our rulership of Xalisco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XIU_title;Grant Xiu Independence;;;;;;;;;;;;x,,
gtfo_XIU_desc;We've had a good run, but it's time to end our rulership of Xiu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XMA_title;Grant Madurai Independence;;;;;;;;;;;;x,,
gtfo_XMA_desc;We've had a good run, but it's time to end our rulership of Madurai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAN_title;Grant Yan Independence;;;;;;;;;;;;x,,
gtfo_YAN_desc;We've had a good run, but it's time to end our rulership of Yan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAQ_title;Grant Yaqui Independence;;;;;;;;;;;;x,,
gtfo_YAQ_desc;We've had a good run, but it's time to end our rulership of Yaqui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAS_title;Grant Yas Independence;;;;;;;;;;;;x,,
gtfo_YAS_desc;We've had a good run, but it's time to end our rulership of Yas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAT_title;Grant Yatenga Independence;;;;;;;;;;;;x,,
gtfo_YAT_desc;We've had a good run, but it's time to end our rulership of Yatenga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;x,,
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKA_title;Grant Yaka Independence;;;;;;;;;;;;x,,
gtfo_YKA_desc;We've had a good run, but it's time to end our rulership of Yaka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKT_title;Grant Yokuts Independence;;;;;;;;;;;;x,,
gtfo_YKT_desc;We've had a good run, but it's time to end our rulership of Yokuts: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YOK_title;Grant Yokotan Independence;;;;;;;;;;;;x,,
gtfo_YOK_desc;We've had a good run, but it's time to end our rulership of Yokotan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YRK_title;Grant Yarkand Independence;;;;;;;;;;;;x,,
gtfo_YRK_desc;We've had a good run, but it's time to end our rulership of Yarkand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YZD_title;Grant Yazd Independence;;;;;;;;;;;;x,,
gtfo_YZD_desc;We've had a good run, but it's time to end our rulership of Yazd: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAP_title;Grant Zapotec Independence;;;;;;;;;;;;x,,
gtfo_ZAP_desc;We've had a good run, but it's time to end our rulership of Zapotec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAZ_title;Grant Zaporozhie Independence;;;;;;;;;;;;x,,
gtfo_ZAZ_desc;We've had a good run, but it's time to end our rulership of Zaporozhie: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZIA_title;Grant Zia Independence;;;;;;;;;;;;x,,
gtfo_ZIA_desc;We've had a good run, but it's time to end our rulership of Zia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZIM_title;Grant Mutapa Independence;;;;;;;;;;;;x,,
gtfo_ZIM_desc;We've had a good run, but it's time to end our rulership of Mutapa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZND_title;Grant Zandoma Independence;;;;;;;;;;;;x,,
gtfo_ZND_desc;We've had a good run, but it's time to end our rulership of Zandoma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZNI_title;Grant Zuni Independence;;;;;;;;;;;;x,,
gtfo_ZNI_desc;We've had a good run, but it's time to end our rulership of Zuni: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZZZ_title;Grant Zazzau Independence;;;;;;;;;;;;x,,
gtfo_ZZZ_desc;We've had a good run, but it's time to end our rulership of Zazzau: if you love something, let it go!;;;;;;;;;;;;x
